id,max_,min_,mean_,median_,std_,wealth
1869.0,36.0,6.0,12.56,10.0,7.499759996159876,1.12991
1870.0,63.0,54.0,62.46,63.0,1.621234097840284,0.7509399999999999
1871.0,63.0,54.0,62.46,63.0,1.621234097840284,1.132
1872.0,63.0,63.0,63.0,63.0,0.0,0.936105
1873.0,63.0,61.0,62.96,63.0,0.24166091947189144,1.147575
1874.0,63.0,63.0,63.0,63.0,0.0,0.84021
1875.0,63.0,63.0,63.0,63.0,0.0,1.02921
1876.0,63.0,62.0,62.98,63.0,0.13999999999999999,1.10667
1878.0,63.0,62.0,62.97,63.0,0.17058722109231986,1.024225
1879.0,63.0,56.0,62.8,63.0,0.9695359714832656,1.11561
1880.0,63.0,57.0,62.88,63.0,0.6823488843692797,1.1180649999999999
1881.0,63.0,53.0,62.51,63.0,1.734906337529493,0.89723
1882.0,63.0,56.0,62.8,63.0,0.9695359714832656,1.18161
1883.0,63.0,62.0,62.97,63.0,0.17058722109231986,0.97741
1884.0,63.0,58.0,62.79,63.0,0.7783957862167549,0.75007
1885.0,63.0,53.0,62.13,63.0,2.2523543238131962,0.7538699999999999
1886.0,63.0,53.0,62.06,63.0,2.270770794245866,0.8212799999999999
1887.0,63.0,56.0,62.56,63.0,1.329059818066892,0.48203999999999997
1888.0,63.0,58.0,62.79,63.0,0.7783957862167549,1.08938
1889.0,63.0,53.0,62.11,63.0,2.310389577538819,1.07776
1890.0,63.0,43.0,61.18,63.0,4.0009498872142855,0.767015
1891.0,63.0,59.0,62.8,63.0,0.6324555320336758,0.7823450000000001
1892.0,63.0,42.0,60.96,63.0,4.795664708880303,0.54128
1893.0,63.0,32.0,58.81,63.0,7.897714859375465,0.53603
1894.0,63.0,42.0,60.96,63.0,4.795664708880303,0.5545399999999999
1895.0,63.0,51.0,61.95,63.0,2.2688102609076854,0.66275
1896.0,63.0,58.0,62.71,63.0,0.9828021163998376,0.66038
1897.0,63.0,37.0,57.83,62.0,7.241622746318673,0.59078
1898.0,63.0,40.0,59.5,63.0,5.733236433289665,1.12162
1899.0,63.0,50.0,61.38,63.0,2.7992141754428155,1.38129
1900.0,63.0,50.0,62.03,63.0,2.4513465687250346,0.87344
1902.0,63.0,50.0,62.14,63.0,2.3367498796405233,0.79998
1903.0,63.0,50.0,61.96,63.0,2.477579463912308,1.30484
1904.0,63.0,61.0,62.96,63.0,0.24166091947189144,0.8828950000000001
1905.0,63.0,61.0,62.94,63.0,0.2764054992217051,1.036335
1906.0,63.0,61.0,62.91,63.0,0.3491418050019218,0.96562
1907.0,63.0,58.0,62.65,63.0,1.061838029079765,1.03932
1908.0,63.0,58.0,62.61,63.0,1.076057619275102,0.765315
1909.0,63.0,58.0,62.85,63.0,0.6062177826491071,1.1131
1910.0,63.0,58.0,62.69,63.0,0.9348261870529729,1.165225
1911.0,63.0,62.0,62.95,63.0,0.21794494717703367,1.12459
1912.0,63.0,63.0,63.0,63.0,0.0,1.0435299999999998
1913.0,63.0,61.0,62.96,63.0,0.24166091947189144,1.0103799999999998
1914.0,63.0,63.0,63.0,63.0,0.0,1.28195
1915.0,63.0,63.0,63.0,63.0,0.0,0.8537100000000001
1916.0,63.0,63.0,63.0,63.0,0.0,1.09623
1917.0,63.0,62.0,62.95,63.0,0.21794494717703367,0.9841049999999999
1918.0,63.0,53.0,62.07,63.0,2.268281287671351,0.9493799999999999
1919.0,63.0,62.0,62.96,63.0,0.19595917942265423,0.87298
1920.0,63.0,58.0,62.7,63.0,0.9327379053088818,1.24509
1921.0,63.0,53.0,62.13,63.0,2.2523543238131962,0.69452
1922.0,63.0,34.0,59.32,63.0,6.909240189774851,0.8909
1923.0,63.0,43.0,60.74,63.0,4.227576137694034,0.8009
1924.0,63.0,33.0,59.82,63.0,5.988956503431963,0.83934
1925.0,63.0,59.0,62.8,63.0,0.6324555320336758,0.7780699999999999
1926.0,63.0,50.0,61.79,63.0,2.5779643131742533,1.2482000000000002
1927.0,63.0,42.0,61.12,63.0,4.217297712991105,1.04167
1928.0,63.0,33.0,59.25,63.0,7.023353899669303,-0.5979
1929.0,63.0,33.0,59.25,63.0,7.023353899669303,-0.53379
1930.0,63.0,33.0,59.28,63.0,7.010106989197811,0.2857
1931.0,63.0,24.0,51.21,56.5,13.25993589728095,-0.295515
1932.0,62.0,8.0,33.94,33.0,16.42548020607008,1.09673
1933.0,63.0,9.0,38.08,36.5,16.215227411294606,0.9872799999999999
1934.0,62.0,9.0,30.48,25.0,15.202289301286173,0.98554
1935.0,63.0,21.0,57.69,62.0,9.008545942603613,0.984655
1936.0,63.0,11.0,42.76,46.0,14.579519882355521,0.83931
1937.0,63.0,14.0,48.38,54.0,13.007520901386243,0.979535
1938.0,39.0,7.0,19.61,18.0,7.8190728350617125,0.99387
1939.0,63.0,16.0,50.79,56.0,12.693537725945435,0.819825
1940.0,63.0,27.0,54.35,57.0,8.443192524158146,1.01041
1941.0,63.0,32.0,56.31,60.5,8.431719872007134,0.8951450000000001
1942.0,63.0,21.0,57.34,62.0,10.358783712386314,0.829785
1943.0,63.0,29.0,59.56,63.0,7.277801865948261,0.87915
1944.0,63.0,28.0,59.26,63.0,7.513481217119001,0.40465999999999996
1945.0,63.0,25.0,59.06,63.0,8.107798714817726,0.6772
1946.0,63.0,44.0,61.9,63.0,2.981610303175114,0.94642
1947.0,63.0,36.0,61.22,63.0,4.7362010092478135,1.034555
1948.0,63.0,43.0,61.15,63.0,3.6752550931874106,0.76058
1949.0,63.0,41.0,60.34,62.0,4.565566777520618,1.1820700000000002
1950.0,63.0,41.0,60.34,62.0,4.565566777520618,1.084115
1951.0,63.0,30.0,59.0,62.0,7.114773362518303,1.0435299999999998
1952.0,63.0,40.0,58.71,62.0,6.684751304274528,0.74916
1953.0,63.0,20.0,53.34,61.0,12.674557191476158,1.02979
1954.0,63.0,27.0,57.35,62.0,9.196058938480116,0.7117
